CVE,Vendor,Product,Name,Added,Description,Action,Due,RansomwareCampaign,Notes,CVSS2,CVSS3x,EPSS,Percentile,KEVPercentile
CVE-2019-2215,Android,Android Kernel,Android Kernel Use-After-Free Vulnerability,11/3/2021,"Android Kernel contains a use-after-free vulnerability in binder.c that allows for privilege escalation from an application to the Linux Kernel. This vulnerability was observed chained with CVE-2020-0041 and CVE-2020-0069 under exploit chain ""AbstractEmu.""",Apply updates per vendor instructions.,5/3/2022,Unknown,,4.6,7.8,0.00300,0.66390,0.56231
CVE-2020-0041,Android,Android Kernel,Android Kernel Out-of-Bounds Write Vulnerability,11/3/2021,"Android Kernel binder_transaction of binder.c contains an out-of-bounds write vulnerability due to an incorrect bounds check that could allow for local privilege escalation. This vulnerability was observed chained with CVE-2019-2215 and CVE-2020-0069 under exploit chain ""AbstractEmu.""",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00081,0.33782,0.51264
CVE-2020-0069,MediaTek,Multiple Chipsets,Mediatek Multiple Chipsets Insufficient Input Validation Vulnerability,11/3/2021,"Multiple MediaTek chipsets contain an insufficient input validation vulnerability and have missing SELinux restrictions in the Command Queue drivers ioctl handlers. This causes an out-of-bounds write leading to privilege escalation. This vulnerability was observed chained with CVE-2019-2215 and CVE-2020-0041 under exploit chain ""AbstractEmu.""",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00145,0.50438,0.53553
CVE-2017-9805,Apache,Struts,Apache Struts Deserialization of Untrusted Data Vulnerability,11/3/2021,"Apache Struts REST Plugin uses an XStreamHandler with an instance of XStream for deserialization without any type filtering, which can lead to remote code execution when deserializing XML payloads.",Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,8.1,0.97537,0.99995,1.00000
CVE-2021-42013,Apache,HTTP Server,Apache HTTP Server Path Traversal Vulnerability,11/3/2021,Apache HTTP Server contains a path traversal vulnerability that allows an attacker to perform remote code execution if files outside directories configured by Alias-like directives are not under default �require all denied� or if CGI scripts are enabled. This CVE ID resolves an incomplete patch for CVE-2021-41773.,Apply updates per vendor instructions.,11/17/2021,Known,,7.5,9.8,0.97287,0.99842,1.00000
CVE-2021-41773,Apache,HTTP Server,Apache HTTP Server Path Traversal Vulnerability,11/3/2021,"Apache HTTP Server contains a path traversal vulnerability that allows an attacker to perform remote code execution if files outside directories configured by Alias-like directives are not under default �require all denied� or if CGI scripts are enabled. The original patch issued under this CVE ID is insufficient, please review remediation information under CVE-2021-42013.",Apply updates per vendor instructions.,11/17/2021,Known,,4.3,7.5,0.97386,0.99904,1.00000
CVE-2019-0211,Apache,HTTP Server,Apache HTTP Server Privilege Escalation Vulnerability,11/3/2021,"Apache HTTP Server, with MPM event, worker or prefork, code executing in less-privileged child processes or threads (including scripts executed by an in-process scripting interpreter) could execute code with the privileges of the parent process (usually root) by manipulating the scoreboard.",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.97385,0.99902,1.00000
CVE-2016-4437,Apache,Shiro,Apache Shiro Code Execution Vulnerability,11/3/2021,"Apache Shiro contains a vulnerability which may allow remote attackers to execute code or bypass intended access restrictions via an unspecified request parameter when a cipher key has not been configured for the ""remember me"" feature.",Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,8.1,0.97507,0.99981,1.00000
CVE-2019-17558,Apache,Solr,Apache Solr VelocityResponseWriter Plug-In Remote Code Execution Vulnerability,11/3/2021,The Apache Solr VelocityResponseWriter plug-in contains an unspecified vulnerability which can allow for remote code execution.,Apply updates per vendor instructions.,5/3/2022,Unknown,,4.6,7.5,0.97517,0.99986,1.00000
CVE-2020-17530,Apache,Struts,Apache Struts Remote Code Execution Vulnerability,11/3/2021,"Forced Object-Graph Navigation Language (OGNL) evaluation in Apache Struts, when evaluated on raw user input in tag attributes, can lead to remote code execution.",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.5,9.8,0.97062,0.99714,1.00000
CVE-2017-5638,Apache,Struts,Apache Struts Remote Code Execution Vulnerability,11/3/2021,"Apache Struts Jakarta Multipart parser allows for malicious file upload using the Content-Type value, leading to remote code execution.",Apply updates per vendor instructions.,5/3/2022,Known,,10,10,0.97535,0.99993,1.00000
CVE-2018-11776,Apache,Struts,Apache Struts Remote Code Execution Vulnerability,11/3/2021,"Apache Struts contains a vulnerability that allows for remote code execution under two circumstances. One, where the alwaysSelectFullNamespace option is true and the value isn't set for a result defined in underlying configurations and in same time, its upper package configuration have no or wildcard namespace.  Or, using URL tag which doesn�t have value and action set and in same time, its upper package configuration have no or wildcard namespace.",Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,8.1,0.97505,0.99981,1.00000
CVE-2021-30858,Apple,"iOS, iPadOS, and macOS","Apple iOS, iPadOS, macOS Use-After-Free Vulnerability",11/3/2021,"Apple iOS, iPadOS, and macOS WebKit contains a use-after-free vulnerability that may allow for code execution when processing maliciously crafted web content.",Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,8.8,0.00792,0.79676,0.58308
CVE-2019-6223,Apple,iOS and macOS,Apple iOS and macOS Group Facetime Vulnerability,11/3/2021,Apple iOS and macOS Group FaceTime contains an unspecified vulnerability where the call initiator can cause the recipient's Apple device to answer unknowingly or without user interaction.,Apply updates per vendor instructions.,5/3/2022,Unknown,,5,7.5,0.00678,0.77821,0.57949
CVE-2021-30860,Apple,Multiple Products,Apple Multiple Products Integer Overflow Vulnerability,11/3/2021,"Apple iOS, iPadOS, macOS, and watchOS CoreGraphics contain an integer overflow vulnerability which may allow code execution when processing a maliciously crafted PDF. The vulnerability is also known under the moniker of FORCEDENTRY.",Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,7.8,0.00140,0.49647,0.53497
CVE-2020-27930,Apple,Multiple Products,Apple Multiple Products Memory Corruption Vulnerability,11/3/2021,"Apple iOS, iPadOS, macOS, and watchOS FontParser contain a memory corruption vulnerability which may allow for code execution when processing maliciously crafted front.",Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,7.8,0.00192,0.56882,0.54740
CVE-2021-30807,Apple,Multiple Products,Apple Multiple Products Memory Corruption Vulnerability,11/3/2021,"Apple iOS, iPadOS, macOS, and watchOS IOMobileFrameBuffer contain a memory corruption vulnerability which may allow an application to execute code with kernel privileges.",Apply updates per vendor instructions.,11/17/2021,Unknown,,9.3,7.8,0.00083,0.34489,0.51460
CVE-2020-27950,Apple,Multiple Products,Apple Multiple Products Memory Initialization Vulnerability,11/3/2021,"Apple iOS, iPadOS, macOS, and watchOS contain a memory initialization vulnerability that may allow a malicious application to disclose kernel memory.",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.1,5.5,0.00271,0.64504,0.55953
CVE-2020-27932,Apple,Multiple Products,Apple Multiple Products Type Confusion Vulnerability,11/3/2021,"Apple iOS, iPadOS, macOS, and watchOS contain a type confusion vulnerability that may allow a malicious application to execute code with kernel privileges.",Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,7.8,0.00192,0.56882,0.54740
CVE-2020-9818,Apple,"iOS, iPadOS, and watchOS","Apple iOS, iPadOS, and watchOS Out-of-Bounds Write Vulnerability",11/3/2021,"Apple iOS, iPadOS, and watchOS Mail contains an out-of-bounds write vulnerability which may allow memory modification or application termination when processing a maliciously crafted mail message.",Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,8.8,0.01655,0.86274,0.59524
CVE-2020-9819,Apple,"iOS, iPadOS, and watchOS","Apple iOS, iPadOS, and watchOS Memory Corruption Vulnerability",11/3/2021,"Apple iOS, iPadOS, and watchOS Mail contains a memory corruption vulnerability that may allow heap corruption when processing a maliciously crafted mail message.",Apply updates per vendor instructions.,5/3/2022,Unknown,,4.3,4.3,0.00443,0.72260,0.57220
CVE-2021-30762,Apple,iOS,Apple iOS Use-After-Free Vulnerability,11/3/2021,Apple iOS WebKit contains a use-after-free vulnerability which may allow for code execution when processing maliciously crafted web content.,Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,8.8,0.00421,0.71583,0.57109
CVE-2021-1782,Apple,Multiple Products,Apple Multiple Products Race Condition Vulnerability,11/3/2021,"Apple iOS, iPadOs, macOS, watchOS, and tvOS contain a race condition vulnerability that may allow a malicious application to elevate privileges.",Apply updates per vendor instructions.,11/17/2021,Unknown,,6.9,7,0.00097,0.40282,0.52339
CVE-2021-1870,Apple,"iOS, iPadOS, and macOS","Apple iOS, iPadOS, and macOS Remote Code Execution Vulnerability",11/3/2021,"Apple iOS, iPadOS, and macOS WebKit contain an unspecified logic issue which may allow a remote attacker to execute code.",Apply updates per vendor instructions.,11/17/2021,Unknown,,7.5,9.8,0.00980,0.81786,0.58378
CVE-2021-1871,Apple,"iOS, iPadOS, and macOS","Apple iOS, iPadOS, and macOS Remote Code Execution Vulnerability",11/3/2021,"Apple iOS, iPadOS, and macOS WebKit contain an unspecified logic issue which may allow a remote attacker to execute code.",Apply updates per vendor instructions.,11/17/2021,Unknown,,7.5,9.8,0.00867,0.80559,0.58337
CVE-2021-1879,Apple,"iOS, iPadOS, and watchOS","Apple iOS, iPadOS, and watchOS Cross-Site Scripting (XSS) Vulnerability",11/3/2021,"Apple iOS, iPadOS, and watchOS WebKit contains a cross-site scripting (XSS) vulnerability when processing maliciously crafted web content.",Apply updates per vendor instructions.,11/17/2021,Unknown,,4.3,6.1,0.00228,0.61083,0.55390
CVE-2021-30661,Apple,Multiple Products,Apple Multiple Products Use-After-Free Vulnerability,11/3/2021,"Apple iOS, iPadOS, macOS, watchOS, tvOS, and Safari WebKit Storage contain a use-after-free vulnerability which may allow for code execution when processing maliciously crafted web content.",Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,8.8,0.00401,0.70926,0.56864
CVE-2021-30666,Apple,iOS,Apple iOS Buffer Overflow Vulnerability,11/3/2021,Apple iOS WebKit contains a buffer-overflow vulnerability which may allow for code execution when processing maliciously crafted web content.,Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,8.8,0.00349,0.68877,0.56599
CVE-2021-30713,Apple,macOS,Apple macOS Unspecified Vulnerability,11/3/2021,"Apple macOS Transparency, Consent, and Control (TCC) contains an unspecified permissions issue which may allow a malicious application to bypass privacy preferences.",Apply updates per vendor instructions.,11/17/2021,Unknown,,4.6,7.8,0.00575,0.75609,0.57495
CVE-2021-30657,Apple,macOS,Apple macOS Unspecified Vulnerability,11/3/2021,Apple macOS contains an unspecified logic issue in System Preferences that may allow a malicious application to bypass Gatekeeper checks.,Apply updates per vendor instructions.,11/17/2021,Unknown,,4.3,5.5,0.65683,0.97626,1.00000
CVE-2021-30665,Apple,Multiple Products,Apple Multiple Products Memory Corruption Vulnerability,11/3/2021,"Apple iOS, iPadOS, macOS, watchOS, and tvOS WebKit contain a memory corruption vulnerability which may allow for code execution when processing maliciously crafted web content.",Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,8.8,0.00291,0.65849,0.56160
CVE-2021-30663,Apple,Multiple Products,Apple Multiple Products Integer Overflow Vulnerability,11/3/2021,"Apple iOS, iPadOS, macOS, tvOS, and Safari WebKit contain an integer overflow vulnerability which may allow for code execution when processing maliciously crafted web content.",Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,8.8,0.00303,0.66536,0.56248
CVE-2021-30761,Apple,iOS,Apple iOS Memory Corruption Vulnerability,11/3/2021,Apple iOS WebKit contains a memory corruption vulnerability which may allow for code execution when processing maliciously crafted web content.,Apply updates per vendor instructions.,11/17/2021,Unknown,,6.8,8.8,0.00421,0.71583,0.57109
CVE-2021-30869,Apple,"iOS, iPadOS, and macOS","Apple iOS, iPadOS, and macOS Type Confusion Vulnerability",11/3/2021,"Apple iOS, iPadOS, and macOS contain a type confusion vulnerability in the XNU which may allow a malicious application to execute code with kernel privileges.",Apply updates per vendor instructions.,11/17/2021,Unknown,,9.3,7.8,0.00126,0.47184,0.53362
CVE-2020-9859,Apple,Multiple Products,Apple Multiple Products Code Execution Vulnerability,11/3/2021,"Apple iOS, iPadOS, macOS, watchOS, and tvOS contain an unspecified vulnerability that may allow an application to execute code with kernel privileges.",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00070,0.28967,0.50156
CVE-2021-20090,Arcadyan,Buffalo Firmware,Arcadyan Buffalo Firmware Path Traversal Vulnerability,11/3/2021,"Arcadyan Buffalo firmware contains a path traversal vulnerability that could allow unauthenticated, remote attackers to bypass authentication and access sensitive information. This vulnerability affects multiple routers across several different vendors.",Apply updates per vendor instructions.,11/17/2021,Unknown,,7.5,9.8,0.97203,0.99788,1.00000
CVE-2021-27562,Arm,Trusted Firmware,Arm Trusted Firmware Out-of-Bounds Write Vulnerability,11/3/2021,"Arm Trusted Firmware contains an out-of-bounds write vulnerability allowing the non-secure (NS) world to trigger a system halt, overwrite secure data, or print out secure data when calling secure functions under the non-secure processing environment (NSPE) handler mode. This vulnerability affects Yealink Device Management servers.",Apply updates per vendor instructions.,11/17/2021,Unknown,,4.9,5.5,0.95843,0.99316,1.00000
CVE-2021-28664,Arm,Mali Graphics Processing Unit (GPU),Arm Mali Graphics Processing Unit (GPU) Unspecified Vulnerability,11/3/2021,"Arm Mali Graphics Processing Unit (GPU) kernel driver contains an unspecified vulnerability that may allow a non-privileged user to gain write access to read-only memory, gain root privilege, corrupt memory, and modify the memory of other processes.",Apply updates per vendor instructions.,11/17/2021,Unknown,,9,8.8,0.00420,0.71537,0.57100
CVE-2021-28663,Arm,Mali Graphics Processing Unit (GPU),Arm Mali Graphics Processing Unit (GPU) Use-After-Free Vulnerability,11/3/2021,"Arm Mali Graphics Processing Unit (GPU) kernel driver contains a use-after-free vulnerability that may allow a non-privileged user to make improper operations on GPU memory to gain root privilege, and/or disclose information.",Apply updates per vendor instructions.,11/17/2021,Unknown,,9,8.8,0.00626,0.76731,0.57565
CVE-2019-3398,Atlassian,Confluence Server and Data Center,Atlassian Confluence Server and Data Center Path Traversal Vulnerability,11/3/2021,"Atlassian Confluence Server and Data Center contain a path traversal vulnerability in the downloadallattachments resource that may allow a privileged, remote attacker to write files. Exploitation can lead to remote code execution.",Apply updates per vendor instructions.,5/3/2022,Unknown,,9,8.8,0.97220,0.99802,1.00000
CVE-2021-26084,Atlassian,Confluence Server and Data Center,Atlassian Confluence Server and Data Center Object-Graph Navigation Language (OGNL) Injection Vulnerability,11/3/2021,Atlassian Confluence Server and Data Server contain an Object-Graph Navigation Language (OGNL) injection vulnerability that may allow an unauthenticated attacker to execute code.,Apply updates per vendor instructions.,11/17/2021,Known,,7.5,9.8,0.97235,0.99811,1.00000
CVE-2019-11580,Atlassian,Crowd and Crowd Data Center,Atlassian Crowd and Crowd Data Center Remote Code Execution Vulnerability,11/3/2021,Atlassian Crowd and Crowd Data Center contain a remote code execution vulnerability resulting from a pdkinstall development plugin being incorrectly enabled in release builds.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.5,9.8,0.97425,0.99928,1.00000
CVE-2019-3396,Atlassian,Confluence Server and Data Server,Atlassian Confluence Server and Data Center Server-Side Template Injection Vulnerability,11/3/2021,Atlassian Confluence Server and Data Center contain a server-side template injection vulnerability that may allow an attacker to achieve path traversal and remote code execution.,Apply updates per vendor instructions.,5/3/2022,Known,,10,9.8,0.97502,0.99978,1.00000
CVE-2021-42258,BQE,BillQuick Web Suite,BQE BillQuick Web Suite SQL Injection Vulnerability,11/3/2021,"BQE BillQuick Web Suite contains an SQL injection vulnerability when accessing the username parameter that may allow for unauthenticated, remote code execution.",Apply updates per vendor instructions.,11/17/2021,Known,,6.8,9.8,0.96873,0.99644,1.00000
CVE-2020-3452,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Cisco ASA and FTD Read-Only Path Traversal Vulnerability,11/3/2021,Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an improper input validation vulnerability when HTTP requests process URLs.  An attacker could exploit this vulnerability by sending a crafted HTTP request containing directory traversal character sequences to an affected device. A successful exploit could allow the attacker to view arbitrary files within the web services file system on the targeted device.,Apply updates per vendor instructions.,5/3/2022,Unknown,,5,7.5,0.97531,0.99991,1.00000
CVE-2020-3580,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Cisco ASA and FTD Cross-Site Scripting (XSS) Vulnerability,11/3/2021,Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an insufficient input validation vulnerability for user-supplied input by the web services interface.  Successful exploitation could allow an attacker to perform cross-site scripting (XSS) in the context of the interface or access sensitive browser-based information.,Apply updates per vendor instructions.,5/3/2022,Unknown,,2.6,6.1,0.97048,0.99708,1.00000
CVE-2021-1497,Cisco,HyperFlex HX,Cisco HyperFlex HX Installer Virtual Machine Command Injection Vulnerability,11/3/2021,Cisco HyperFlex HX Installer Virtual Machine contains an insufficient input validation vulnerability which could allow an attacker to execute commands on an affected device as the�root�user.,Apply updates per vendor instructions.,11/17/2021,Unknown,,10,9.8,0.97485,0.99968,1.00000
CVE-2021-1498,Cisco,HyperFlex HX,Cisco HyperFlex HX Data Platform Command Injection Vulnerability,11/3/2021,Cisco HyperFlex HX Installer Virtual Machine contains an insufficient input validation vulnerability which could allow an attacker to execute commands on an affected device as the tomcat8 user.,Apply updates per vendor instructions.,11/17/2021,Unknown,,7.5,9.8,0.97485,0.99968,1.00000
CVE-2018-0171,Cisco,IOS and IOS XE,Cisco IOS and IOS XE Software Smart Install Remote Code Execution Vulnerability,11/3/2021,"Cisco IOS and IOS XE Software improperly validates packet data, allowing an unauthenticated, remote attacker to trigger a reload of an affected device, cause a denial-of-service (DoS) condition, or perform code execution on the affected device.",Apply updates per vendor instructions.,5/3/2022,Unknown,,10,9.8,0.78217,0.97976,1.00000
CVE-2020-3118,Cisco,IOS XR,Cisco IOS XR Software Discovery Protocol Format String Vulnerability,11/3/2021,"Cisco IOS XR improperly validates string input from certain fields in Cisco Discovery Protocol messages. Exploitation could allow an unauthenticated, adjacent attacker to execute code with administrative privileges or cause a reload on an affected device.",Apply updates per vendor instructions.,5/3/2022,Unknown,,8.3,8.8,0.00219,0.59912,0.55160
CVE-2020-3566,Cisco,IOS XR,Cisco IOS XR Software DVMRP Memory Exhaustion Vulnerability,11/3/2021,"Cisco IOS XR Distance Vector Multicast Routing Protocol (DVMRP) incorrectly handles Internet Group Management Protocol (IGMP) packets. Exploitation could allow an unauthenticated, remote attacker to immediately crash the IGMP process or make it consume available memory and eventually crash.",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.8,7.5,0.00326,0.67785,0.56528
CVE-2020-3569,Cisco,IOS XR,Cisco IOS XR Software DVMRP Memory Exhaustion Vulnerability,11/3/2021,"Cisco IOS XR Distance Vector Multicast Routing Protocol (DVMRP) incorrectly handles Internet Group Management Protocol (IGMP) packets. Exploitation could allow an unauthenticated, remote attacker to immediately crash the IGMP process or make it consume available memory and eventually crash.",Apply updates per vendor instructions.,5/3/2022,Unknown,,5,7.5,0.00326,0.67785,0.56528
CVE-2020-3161,Cisco,Cisco IP Phones,Cisco IP Phones Web Server Remote Code Execution and Denial-of-Service Vulnerability,11/3/2021,Cisco IP Phones contain an improper input validation vulnerability for HTTP requests. Exploitation could allow an attacker to execute code remotely with�root�privileges or cause a denial-of-service (DoS) condition.,Apply updates per vendor instructions.,5/3/2022,Unknown,,10,9.8,0.01432,0.85195,0.59189
CVE-2019-1653,Cisco,Small Business RV320 and RV325 Routers,Cisco Small Business RV320 and RV325 Routers Information Disclosure Vulnerability,11/3/2021,Cisco Small Business RV320 and RV325 Dual Gigabit WAN VPN Routers contain improper access controls for URLs. Exploitation could allow an attacker to download the router configuration or detailed diagnostic information.,Apply updates per vendor instructions.,5/3/2022,Unknown,,5,7.5,0.97555,0.99997,1.00000
CVE-2018-0296,Cisco,Adaptive Security Appliance (ASA),Cisco Adaptive Security Appliance (ASA) Denial-of-Service Vulnerability,11/3/2021,Cisco Adaptive Security Appliance (ASA) contains an improper input validation vulnerability with HTTP URLs. Exploitation could allow an attacker to cause a denial-of-service (DoS) condition or information disclosure.,Apply updates per vendor instructions.,5/3/2022,Unknown,,5,7.5,0.97420,0.99923,1.00000
CVE-2019-13608,Citrix,StoreFront Server,Citrix StoreFront Server XML External Entity (XXE) Processing Vulnerability,11/3/2021,Citrix StoreFront Server contains an XML External Entity (XXE) processing vulnerability that may allow an unauthenticated attacker to retrieve potentially sensitive information.,Apply updates per vendor instructions.,5/3/2022,Known,,5,7.5,0.00625,0.76709,0.57561
CVE-2020-8193,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance","Citrix ADC, Gateway, and SD-WAN WANOP Appliance Authorization Bypass Vulnerability",11/3/2021,"Citrix ADC, Citrix Gateway, and multiple Citrix SD-WAN WANOP appliance models contain an authorization bypass vulnerability that may allow unauthenticated access to certain URL endpoints. The attacker must have access to the NetScaler IP (NSIP) in order to perform exploitation.",Apply updates per vendor instructions.,5/3/2022,Unknown,,5,6.5,0.93910,0.98967,1.00000
CVE-2020-8195,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance","Citrix ADC, Gateway, and SD-WAN WANOP Appliance Information Disclosure Vulnerability",11/3/2021,"Citrix ADC, Citrix Gateway, and multiple Citrix SD-WAN WANOP appliance models contain an information disclosure vulnerability.",Apply updates per vendor instructions.,5/3/2022,Unknown,,4,6.5,0.87949,0.98413,1.00000
CVE-2020-8196,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance","Citrix ADC, Gateway, and SD-WAN WANOP Appliance Information Disclosure Vulnerability",11/3/2021,"Citrix ADC, Citrix Gateway, and multiple Citrix SD-WAN WANOP appliance models contain an information disclosure vulnerability.",Apply updates per vendor instructions.,5/3/2022,Unknown,,4,4.3,0.00201,0.58013,0.54822
CVE-2019-19781,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance","Citrix ADC, Gateway, and SD-WAN WANOP Appliance Code Execution Vulnerability",11/3/2021,"Citrix ADC, Citrix Gateway, and multiple Citrix SD-WAN WANOP appliance models contain an unspecified vulnerability that could allow an unauthenticated attacker to perform code execution.",Apply updates per vendor instructions.,5/3/2022,Known,,7.5,9.8,0.97485,0.99966,1.00000
CVE-2019-11634,Citrix,Workspace Application and Receiver for Windows,Citrix Workspace Application and Receiver for Windows Remote Code Execution Vulnerability,11/3/2021,Citrix Workspace Application and Receiver for Windows contains remote code execution vulnerability resulting from local drive access preferences not being enforced into the clients' local drives.,Apply updates per vendor instructions.,5/3/2022,Known,,7.5,9.8,0.02353,0.88718,0.60608
CVE-2020-29557,D-Link,DIR-825 R1 Devices,D-Link DIR-825 R1 Devices Buffer Overflow Vulnerability,11/3/2021,D-Link DIR-825 R1 devices contain a buffer overflow vulnerability in the web interface that may allow for remote code execution.,Apply updates per vendor instructions.,5/3/2022,Unknown,,10,9.8,0.04767,0.91899,0.62686
CVE-2020-25506,D-Link,DNS-320 Device,D-Link DNS-320 Device Command Injection Vulnerability,11/3/2021,D-Link DNS-320 device contains a command injection vulnerability in the sytem_mgr.cgi component that may allow for remote code execution.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.5,9.8,0.97430,0.99933,1.00000
CVE-2018-15811,DotNetNuke (DNN),DotNetNuke (DNN),DotNetNuke (DNN) Inadequate Encryption Strength Vulnerability,11/3/2021,DotNetNuke (DNN) contains an inadequate encryption strength vulnerability resulting from the use of a weak encryption algorithm to protect input parameters.,Apply updates per vendor instructions.,5/3/2022,Unknown,,5,7.5,0.04325,0.91499,0.62439
CVE-2018-18325,DotNetNuke (DNN),DotNetNuke (DNN),DotNetNuke (DNN) Inadequate Encryption Strength Vulnerability,11/3/2021,DotNetNuke (DNN) contains an inadequate encryption strength vulnerability resulting from the use of a weak encryption algorithm to protect input parameters. This CVE ID resolves an incomplete patch for CVE-2018-15811.,Apply updates per vendor instructions.,5/3/2022,Unknown,,5,7.5,0.04325,0.91499,0.62439
CVE-2017-9822,DotNetNuke (DNN),DotNetNuke (DNN),DotNetNuke (DNN) Remote Code Execution Vulnerability,11/3/2021,DotNetNuke (DNN) contains a vulnerability that may allow for remote code execution via cookie deserialization.,Apply updates per vendor instructions.,5/3/2022,Known,,6.5,8.8,0.96287,0.99429,1.00000
CVE-2019-15752,Docker,Desktop Community Edition,Docker Desktop Community Edition Privilege Escalation Vulnerability,11/3/2021,Docker Desktop Community Edition contains a vulnerability that may allow local users to escalate privileges by placing a trojan horse docker-credential-wincred.exe file in %PROGRAMDATA%\DockerDesktop\version-bin\.,Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,7.8,0.00488,0.73518,0.57305
